type,blender,japanese,english
PHYSICS,111_J_SkirtSide_1_4,111_J_SkirtSide_1_4,SkirtSide_1_4
PHYSICS,112_J_SkirtSide_1_5,112_J_SkirtSide_1_5,SkirtSide_1_5
PHYSICS,113_J_SkirtSide_1_6,113_J_SkirtSide_1_6,SkirtSide_1_6
PHYSICS,114_J_SkirtSide_1_7,114_J_SkirtSide_1_7,SkirtSide_1_7
PHYSICS,115_J_SkirtSide_1_8,115_J_SkirtSide_1_8,SkirtSide_1_8
PHYSICS,116_J_SkirtSide_1_9,116_J_SkirtSide_1_9,SkirtSide_1_9
PHYSICS,117_J_SkirtSide_1_10,117_J_SkirtSide_1_10,SkirtSide_1_10
PHYSICS,118_J_SkirtSide_1_11,118_J_SkirtSide_1_11,SkirtSide_1_11
PHYSICS,119_J_SkirtSide_2_0,119_J_SkirtSide_2_0,SkirtSide_2_0
PHYSICS,120_J_SkirtSide_2_1,120_J_SkirtSide_2_1,SkirtSide_2_1
PHYSICS,121_J_SkirtSide_2_2,121_J_SkirtSide_2_2,SkirtSide_2_2
PHYSICS,122_J_SkirtSide_2_3,122_J_SkirtSide_2_3,SkirtSide_2_3
PHYSICS,123_J_SkirtSide_2_4,123_J_SkirtSide_2_4,SkirtSide_2_4
PHYSICS,124_J_SkirtSide_2_5,124_J_SkirtSide_2_5,SkirtSide_2_5
PHYSICS,125_J_SkirtSide_2_6,125_J_SkirtSide_2_6,SkirtSide_2_6
PHYSICS,126_J_SkirtSide_2_7,126_J_SkirtSide_2_7,SkirtSide_2_7
PHYSICS,127_J_SkirtSide_2_8,127_J_SkirtSide_2_8,SkirtSide_2_8
PHYSICS,128_J_SkirtSide_2_9,128_J_SkirtSide_2_9,SkirtSide_2_9
PHYSICS,129_J_SkirtSide_2_10,129_J_SkirtSide_2_10,SkirtSide_2_10
PHYSICS,130_J_SkirtSide_2_11,130_J_SkirtSide_2_11,SkirtSide_2_11
PHYSICS,131_J_SkirtSide_3_0,131_J_SkirtSide_3_0,SkirtSide_3_0
PHYSICS,132_J_SkirtSide_3_1,132_J_SkirtSide_3_1,SkirtSide_3_1
PHYSICS,133_J_SkirtSide_3_2,133_J_SkirtSide_3_2,SkirtSide_3_2
PHYSICS,134_J_SkirtSide_3_3,134_J_SkirtSide_3_3,SkirtSide_3_3
PHYSICS,135_J_SkirtSide_3_4,135_J_SkirtSide_3_4,SkirtSide_3_4
PHYSICS,136_J_SkirtSide_3_5,136_J_SkirtSide_3_5,SkirtSide_3_5
PHYSICS,137_J_SkirtSide_3_6,137_J_SkirtSide_3_6,SkirtSide_3_6
PHYSICS,138_J_SkirtSide_3_7,138_J_SkirtSide_3_7,SkirtSide_3_7
PHYSICS,139_J_SkirtSide_3_8,139_J_SkirtSide_3_8,SkirtSide_3_8
PHYSICS,140_J_SkirtSide_3_9,140_J_SkirtSide_3_9,SkirtSide_3_9
PHYSICS,141_J_SkirtSide_3_10,141_J_SkirtSide_3_10,SkirtSide_3_10
PHYSICS,142_J_SkirtSide_3_11,142_J_SkirtSide_3_11,SkirtSide_3_11
PHYSICS,143_J_SkirtSide_4_0,143_J_SkirtSide_4_0,SkirtSide_4_0
PHYSICS,144_J_SkirtSide_4_1,144_J_SkirtSide_4_1,SkirtSide_4_1
PHYSICS,145_J_SkirtSide_4_2,145_J_SkirtSide_4_2,SkirtSide_4_2
PHYSICS,146_J_SkirtSide_4_3,146_J_SkirtSide_4_3,SkirtSide_4_3
PHYSICS,147_J_SkirtSide_4_4,147_J_SkirtSide_4_4,SkirtSide_4_4
PHYSICS,148_J_SkirtSide_4_5,148_J_SkirtSide_4_5,SkirtSide_4_5
PHYSICS,149_J_SkirtSide_4_6,149_J_SkirtSide_4_6,SkirtSide_4_6
PHYSICS,150_J_SkirtSide_4_7,150_J_SkirtSide_4_7,SkirtSide_4_7
PHYSICS,151_J_SkirtSide_4_8,151_J_SkirtSide_4_8,SkirtSide_4_8
PHYSICS,152_J_SkirtSide_4_9,152_J_SkirtSide_4_9,SkirtSide_4_9
PHYSICS,153_J_SkirtSide_4_10,153_J_SkirtSide_4_10,SkirtSide_4_10
PHYSICS,154_J_SkirtSide_4_11,154_J_SkirtSide_4_11,SkirtSide_4_11
MATERIAL,earpad,earpad,earpad
MATERIAL,Shoes,Shoes,Shoes
MATERIAL,cloth,cloth,cloth
MATERIAL,cloths in,cloths in,cloths in
MATERIAL,Cloths in (hide),Cloths in (hide),Cloths in (hide)
MATERIAL,R_Eyes,R_Eyes,R_Eyes
MATERIAL,L_Eyes,L_Eyes,L_Eyes
MATERIAL,Hair Side,Hair Side,Hair Side
MATERIAL,base hair,base hair,base hair
MATERIAL,Hair bang 0,Hair bang 0,Hair bang 0
MATERIAL,Hair bang 1,Hair bang 1,Hair bang 1
MATERIAL,Hair bang 2,Hair bang 2,Hair bang 2
MATERIAL,Hair bang 3,Hair bang 3,Hair bang 3
MATERIAL,Hair Long 0,Hair Long 0,Hair Long 0
MATERIAL,Hair Long 1,Hair Long 1,Hair Long 1
MATERIAL,Hair Long 2,Hair Long 2,Hair Long 2
MATERIAL,Hair Long 3,Hair Long 3,Hair Long 3
MATERIAL,Hair Long 4,Hair Long 4,Hair Long 4
MATERIAL,Hair Long 5,Hair Long 5,Hair Long 5
MATERIAL,Hair Long 6,Hair Long 6,Hair Long 6
MATERIAL,Hair Long 7,Hair Long 7,Hair Long 7
MATERIAL,Hair Long 8,Hair Long 8,Hair Long 8
MATERIAL,Hair Long 9,Hair Long 9,Hair Long 9
MATERIAL,Hair Long 10,Hair Long 10,Hair Long 10
MATERIAL,Hair Pony base (hide),Hair Pony base (hide),Hair Pony base (hide)
MATERIAL,Another Bng (hide),Another Bng (hide),Another Bng (hide)
MATERIAL,Hair Pony 0,Hair Pony 0,Hair Pony 0
MATERIAL,Hair Pony 1,Hair Pony 1,Hair Pony 1
MATERIAL,Hair Pony 2,Hair Pony 2,Hair Pony 2
MATERIAL,body,body,body
MATERIAL,body (upper),body (upper),body (upper)
MATERIAL,body -hide,body -hide,body -hide
MATERIAL,skirt //hide,skirt //hide,skirt //hide
MATERIAL,New ,New ,5_skirt.material01_1_0_0
MATERIAL,rib + pin,rib + pin,rib + pin
MATERIAL,sweater,sweater,sweater
MATERIAL,Material 3,Material 3,Material 3
MATERIAL,Tounge,Tounge,Tounge
MATERIAL,Lower Teeth,Lower Teeth,Lower Teeth
MATERIAL,Upper Teeth,Upper Teeth,Upper Teeth
MATERIAL,New _001,New _001,New _001
MATERIAL,clothx2,clothx2,clothx2
MATERIAL,skirtx2,skirtx2,skirtx2
MATERIAL,mmd_edge_disabled,mmd_edge_disabled,
